id;name;surname;birth_day;birth_place;birth_country;death_day;death_place;death_country
1;Peter;Hochschorner;7.9.1979;Bratislava;Slovensko;;;
2;Pavol;Hochschorner;7.9.1979;Bratislava;Slovensko;;;
3;Elena;Kaliská;19.1.1972;Zvolen;Slovensko;;;
4;Anastasiya;Kuzmina;28.8.1984;Ťumeň;Sovietsky zväz;;;
5;Michal;Martikán;18.5.1979;Liptovský Mikuláš;Slovensko;;;
6;Ondrej;Nepela;22.1.1951;Bratislava;Slovensko;2.2.1989;Mannheim;Nemecko
7;Jozef;Pribilinec;6.7.1960;Kopernica;Slovensko;;;
8;Anton;Tkáč;30.3.1951;Lozorno;Slovensko;;;
9;Ján;Zachara;27.8.1928;Kubrá pri Trenčíne;Slovensko;;;
10;Július;Torma;7.3.1922;Budapešť;Maďarsko;23.10.1991;Praha;Česko
11;Stanislav;Seman;6.8.1952;Košice;Slovensko;;;
12;František;Kunzo;17.9.1954;Spišský Hrušov;Slovensko;;;
13;Miloslav;Mečíř;19.5.1964;Bojnice;Slovensko;;;
14;Radoslav;Židek;15.10.1981;Žilina;Slovensko;;;
15;Pavol;Hurajt;4.2.1978;Poprad;Slovensko;;;
16;Matej;Tóth;10.2.1983;Nitra;Slovensko;;;
17;Matej;Beňuš;2.11.1987;Bratislava;Slovensko;;;
18;Ladislav;Škantár;11.2.1983;Kežmarok;Slovensko;;;
19;Peter;Škantár;20.7.1982;Kežmarok;Slovensko;;;
20;Erik;Vlček;29.12.1981;Komárno;Slovensko;;;
21;Juraj;Tarr;18.2.1979;Komárno;Slovensko;;;
22;Denis;Myšák;30.11.1995;Bojnice;Slovensko;;;
23;Tibor;Linka;13.2.1995;Šamorín;Slovensko;;;
